echelle;categorie;type;annee;valeur;ugb;tetes;bio
Pays de Bidache;Cheptel;brebis mères allaitantes;2020;14;166,6;980;0
Pays de Bidache;Cheptel;total équins;2020;22;305,2;312;3
Pays de Bidache;Cheptel;total porcins;2020;7;145,2;548;-999
Pays de Bidache;Cheptel;total volailles;2020;56;3582,436;229534;-999
Pays de Bidache;Cheptel;vaches allaitantes;2020;84;2245,5;2495;0
Pays de Bidache;Cheptel;total bovins;2020;104;6335,62;7311;6
Pays de Bidache;Cheptel;apiculture (nombre de ruches);2020;-999;0;-999;0
Pays de Bidache;Cheptel;brebis mères laitières;2020;8;475,2;2376;0
Pays de Bidache;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;21;19,18;1370;-999
Pays de Bidache;Cheptel;juments selle;2020;16;98,1;109;0
Pays de Bidache;Cheptel;poulets de chair et coqs;2020;12;1433,762;130342;-999
Pays d'Hasparren;Cheptel;juments lourdes;2010;49;253;253;0
Pays d'Hasparren;Cheptel;apiculture (nombre de ruches);2010;8;0;144;0
Pays d'Hasparren;Cheptel;juments selle;2010;17;130,5;145;0
Pays d'Hasparren;Cheptel;truies;2010;8;44,94;214;0
Pays d'Hasparren;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;299;64,89;4635;0
Pays d'Hasparren;Cheptel;total caprins;2010;14;76,74;295;0
Pays d'Hasparren;Cheptel;lapines mères;2010;146;86,673;519;0
Pays d'Hasparren;Cheptel;total ensemble du cheptel;2010;537;30144,072;0;0
Pays d'Hasparren;Cheptel;brebis mères allaitantes;2010;82;660,79;3887;0
Pays d'Hasparren;Cheptel;total porcins;2010;133;1545,08;5282;0
Pays d'Hasparren;Cheptel;total volailles;2010;312;772,779;49809;0
Pays d'Hasparren;Cheptel;total bovins;2010;382;14165,85;15546;0
Pays d'Hasparren;Cheptel;vaches laitières;2010;103;4435,55;3059;0
Pays d'Hasparren;Cheptel;vaches allaitantes;2010;291;4392;4880;0
Pays d'Hasparren;Cheptel;total ovins;2010;321;12818,85;70785;0
Pays d'Hasparren;Cheptel;total équins;2010;112;678,1;756;0
Pays d'Hasparren;Cheptel;poulets de chair et coqs;2010;-999;-999;-999;0
Pays d'Hasparren;Cheptel;brebis mères laitières;2010;226;10397,6;51988;0
Pays d'Hasparren;Cheptel;chèvres;2010;14;68,1;227;0
Pays d'Hasparren;Cheptel;total ensemble du cheptel;2020;450;28366,974;0;24
Pays d'Hasparren;Cheptel;total ovins;2020;263;13412,81;76707;18
Pays d'Hasparren;Cheptel;chèvres;2020;15;466,8;1556;0
Pays d'Hasparren;Cheptel;apiculture (nombre de ruches);2020;7;0;756;-999
Pays d'Hasparren;Cheptel;juments selle;2020;29;306,9;341;0
Pays d'Hasparren;Cheptel;total caprins;2020;15;542,9;2283;-999
Pays d'Hasparren;Cheptel;total porcins;2020;35;1378,94;4845;5
Pays d'Hasparren;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;44;162,386;11599;3
Pays d'Hasparren;Cheptel;poulets de chair et coqs;2020;9;192,302;17482;-999
Pays d'Hasparren;Cheptel;vaches laitières;2020;65;2739,05;1889;-999
Pays d'Hasparren;Cheptel;vaches allaitantes;2020;230;4206,6;4674;0
Pays d'Hasparren;Cheptel;total volailles;2020;65;918,907;54751;4
Pays d'Hasparren;Cheptel;brebis mères laitières;2020;179;10140,4;50702;16
Pays d'Hasparren;Cheptel;truies;2020;5;14,28;68;0
Pays d'Hasparren;Cheptel;lapines mères;2020;11;6,847;41;0
Pays d'Hasparren;Cheptel;brebis mères allaitantes;2020;84;1055,19;6207;4
Pays d'Hasparren;Cheptel;total équins;2020;68;671,9;701;5
Pays d'Hasparren;Cheptel;juments lourdes;2020;27;166;166;0
Pays d'Hasparren;Cheptel;total bovins;2020;284;11434,67;12970;7
Soule Xiberoa;Cheptel;total ensemble du cheptel;2010;700;38776,029;0;0
Soule Xiberoa;Cheptel;juments selle;2010;6;16,2;18;0
Soule Xiberoa;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;440;102,074;7291;0
Soule Xiberoa;Cheptel;total volailles;2010;476;584,215;45412;0
Soule Xiberoa;Cheptel;vaches laitières;2010;21;767,05;529;0
Soule Xiberoa;Cheptel;vaches allaitantes;2010;535;9364,5;10405;0
Soule Xiberoa;Cheptel;truies;2010;-999;-999;-999;0
Soule Xiberoa;Cheptel;poulets de chair et coqs;2010;139;80,124;7284;0
Soule Xiberoa;Cheptel;total ovins;2010;454;18275,02;101156;0
Soule Xiberoa;Cheptel;brebis mères allaitantes;2010;70;802,74;4722;0
Soule Xiberoa;Cheptel;chèvres;2010;17;185,4;618;0
Soule Xiberoa;Cheptel;total équins;2010;124;684,2;754;0
Soule Xiberoa;Cheptel;juments lourdes;2010;55;350;350;0
Soule Xiberoa;Cheptel;total porcins;2010;148;497,87;1329;0
Soule Xiberoa;Cheptel;apiculture (nombre de ruches);2010;16;0;2185;0
Soule Xiberoa;Cheptel;total bovins;2010;550;18477,05;22840;0
Soule Xiberoa;Cheptel;brebis mères laitières;2010;379;15003,6;75018;0
Soule Xiberoa;Cheptel;total caprins;2010;17;193,88;694;0
Soule Xiberoa;Cheptel;lapines mères;2010;105;63,794;382;0
Soule Xiberoa;Cheptel;brebis mères allaitantes;2020;75;645,66;3798;6
Soule Xiberoa;Cheptel;juments lourdes;2020;55;349;349;0
Soule Xiberoa;Cheptel;lapines mères;2020;12;4,676;28;0
Soule Xiberoa;Cheptel;chèvres;2020;10;51,9;173;0
Soule Xiberoa;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;69;44,198;3157;3
Soule Xiberoa;Cheptel;apiculture (nombre de ruches);2020;12;0;6503;-999
Soule Xiberoa;Cheptel;total bovins;2020;400;15294,71;18687;3
Soule Xiberoa;Cheptel;brebis mères laitières;2020;310;13898,8;69494;15
Soule Xiberoa;Cheptel;truies;2020;5;7,98;38;0
Soule Xiberoa;Cheptel;total équins;2020;87;740,7;640;8
Soule Xiberoa;Cheptel;juments selle;2020;16;63,9;71;0
Soule Xiberoa;Cheptel;total ensemble du cheptel;2020;549;35028,677;0;26
Soule Xiberoa;Cheptel;total caprins;2020;12;58,8;232;3
Soule Xiberoa;Cheptel;total porcins;2020;68;182,8;577;3
Soule Xiberoa;Cheptel;vaches allaitantes;2020;390;8189,1;9099;0
Soule Xiberoa;Cheptel;vaches laitières;2020;32;616,25;425;0
Soule Xiberoa;Cheptel;total ovins;2020;364;17763,26;102048;18
Soule Xiberoa;Cheptel;total volailles;2020;86;983,731;55839;3
Soule Xiberoa;Cheptel;poulets de chair et coqs;2020;7;153,021;13911;0
