echelle;categorie;type;annee;valeur;sau_ha;ugb;etp;pbs;otefdd_coef17
Nive Adour;Otex;légumes ou champignons;2020;5;-999;-999;4,5;186,2255778;2800
Pays de Bidache;Otex;bovins viande;2010;43;1614,73;2174,933;45,5009854;2024,58302;4600
Pays de Bidache;Otex;volailles;2010;26;671,17;2174,758;39,3316851;7557,025888;5200
Pays de Bidache;Otex;porcins;2010;-999;-999;-999;-999;-999;5100
Pays de Bidache;Otex;fruits ou autres cultures permanentes;2010;13;227,55;1,092;24,653388;1768,52471;3900
Pays de Bidache;Otex;bovins mixtes;2010;3;178,58;318,261;6,25;436,11426;4700
Pays de Bidache;Otex;ovins ou caprins;2010;11;523,85;967,023;15,4846078;1128,84333;4813
Pays de Bidache;Otex;combinaisons de granivores (porcins, volailles);2010;14;921,45;1876,869;25,849345;2489,478774;5374
Pays de Bidache;Otex;polyculture et/ou polyélevage;2010;57;2458,71;2540,445;74,1775929;5339,20505;6184
Pays de Bidache;Otex;autres grandes cultures;2010;7;169,97;-999;2,875;8,23519;1600
Pays de Bidache;Otex;céréales et/ou oléoprotéagineux;2010;42;1308,87;125,407;37,7718996;1376,73778;1500
Pays de Bidache;Otex;équidés et/ou autres herbivores;2010;11;128,41;124,204;10,4845342;143,603;4840
Pays de Bidache;Otex;bovins lait;2010;26;1303,88;2736,066;45,229259;3639,86912;4500
Pays de Bidache;Otex;fleurs et/ou horticulture diverse;2010;-999;-999;-999;-999;-999;2900
Pays de Bidache;Otex;ovins ou caprins;2020;11;590,72;992,124;13,4671429;1083,61177;4813
Pays de Bidache;Otex;polyculture et/ou polyélevage;2020;41;2639;2289,384;55,3066667;4772,53871;6184
Pays de Bidache;Otex;non classées;2020;-999;-999;0;-999;-999;9000
Pays de Bidache;Otex;bovins mixtes;2020;-999;-999;-999;-999;-999;4700
Pays de Bidache;Otex;équidés et/ou autres herbivores;2020;15;358,19;322,638;20,935;331,34233;4840
Pays de Bidache;Otex;volailles;2020;24;843,24;3547,752;37,025;7941,06265;5200
Pays de Bidache;Otex;bovins viande;2020;40;1762,82;2145,65;42,0390476;1882,75671;4600
Pays de Bidache;Otex;légumes ou champignons;2020;-999;-999;0;-999;-999;2800
Pays de Bidache;Otex;bovins lait;2020;12;801,32;1417,581;31,1039683;1994,38598;4500
Pays de Bidache;Otex;fruits ou autres cultures permanentes;2020;14;71,08;0;31,5410317;832,04411;3900
Pays de Bidache;Otex;combinaisons de granivores (porcins, volailles);2020;-999;-999;-999;-999;-999;5374
Pays de Bidache;Otex;céréales et/ou oléoprotéagineux;2020;45;1597,37;132,701;30,9274603;1509,01072;1500
Pays de Bidache;Otex;fleurs et/ou horticulture diverse;2020;4;-999;-999;7,5793651;391,80623;2900
Pays de Bidache;Otex;autres grandes cultures;2020;20;286,6;0;8,625;13,39173;1600
Pays d'Hasparren;Otex;céréales et/ou oléoprotéagineux;2010;8;153,61;-999;4,5;108,50412;1500
Pays d'Hasparren;Otex;fruits ou autres cultures permanentes;2010;4;38,69;-999;1,9390946;275,61415;3900
Pays d'Hasparren;Otex;porcins;2010;3;-999;828,987;6,1666667;684,57602;5100
Pays d'Hasparren;Otex;volailles;2010;14;222,38;853,267;16,5653676;1929,878146;5200
Pays d'Hasparren;Otex;fleurs et/ou horticulture diverse;2010;-999;-999;0;-999;-999;2900
Pays d'Hasparren;Otex;ovins ou caprins;2010;249;8003,18;16034,708;377,559359;17945,138112;4813
Pays d'Hasparren;Otex;polyculture et/ou polyélevage;2010;27;429,09;771,285;29,419214;1216,47295;6184
Pays d'Hasparren;Otex;viticulture;2010;-999;-999;0;-999;-999;3500
Pays d'Hasparren;Otex;bovins lait;2010;67;2596,48;4815,916;123,3270569;6496,14121;4500
Pays d'Hasparren;Otex;équidés et/ou autres herbivores;2010;42;838,43;1127,177;40,9628239;1254,63806;4840
Pays d'Hasparren;Otex;combinaisons de granivores (porcins, volailles);2010;12;164,32;808,308;14,3781114;827,27112;5374
Pays d'Hasparren;Otex;autres grandes cultures;2010;29;380,26;-999;19,9292166;48,2787;1600
Pays d'Hasparren;Otex;bovins viande;2010;99;2582,25;3716,1;112,6732978;2958,60824;4600
Pays d'Hasparren;Otex;légumes ou champignons;2010;4;49,65;-999;10,0070266;316,10363;2800
Pays d'Hasparren;Otex;bovins mixtes;2010;16;654,47;1150,98;25,3392031;1281,50974;4700
Pays d'Hasparren;Otex;fleurs et/ou horticulture diverse;2020;4;-999;-999;8,765;-999;2900
Pays d'Hasparren;Otex;combinaisons de granivores (porcins, volailles);2020;7;221,41;452,813;9,75;806,51366;5374
Pays d'Hasparren;Otex;légumes ou champignons;2020;8;100,7;55,65;19,8662698;1314,11407;2800
Pays d'Hasparren;Otex;ovins ou caprins;2020;232;8455,28;16568,311;302,1111905;18432,28577;4813
Pays d'Hasparren;Otex;bovins mixtes;2020;14;554,74;965,34;17,1281746;1012,13232;4700
Pays d'Hasparren;Otex;polyculture et/ou polyélevage;2020;21;730,27;1122,059;33,6188889;1533,04567;6184
Pays d'Hasparren;Otex;céréales et/ou oléoprotéagineux;2020;15;255,97;-999;6,4638889;172,14795;1500
Pays d'Hasparren;Otex;autres grandes cultures;2020;35;400,39;-999;13,0031746;17,79315;1600
